Time,PLCCellID_CE,PLCCellIDClass_CE,PLCTrayID_CE,K_Value,3.45V_mAH,3.5-2.8V_mAH,acirVP12_CE,acirRP12_CE
2026/8/25 08:53,MW2038B12805,A48,A20105,-0.0503,52010.6,51335.3,3.25E+00,6.50E-04
2026/8/25 08:53,MW2038B12799,A48,A20105,-0.02465,53293.2,52278.9,3.25E+00,5.60E-04
2026/8/25 08:52,MW2038B12817,A48,A11170,-0.0996,53979.4,52419.7,3.25E+00,4.80E-04
2026/8/25 08:52,MW2038B16594,A47,A20105,-0.05245,54961.9,50857.5,3.25E+00,6.10E-04
2026/8/25 08:52,MW2038B12959,A47,A11170,-0.0926,52460.2,52213.3,3.24E+00,5.00E-04
2026/8/25 08:52,MW2038B16595,A48,A20105,-0.07959,54273.5,52213.8,3.25E+00,6.00E-04
2026/8/25 08:52,MW2038B10919,A45,A11170,-0.06689,54774.4,50304.2,3.25E+00,5.10E-04
2026/8/25 08:51,MW2038B16596,A48,A20105,-0.01061,51845.2,54502.2,3.25E+00,6.20E-04
2026/8/25 08:51,MW2038B10918,A45,A11170,-0.04356,51180.9,53963.2,3.25E+00,5.10E-04
2026/8/25 08:51,MW2038B16696,A47,A20105,-0.045,54007.8,50083.4,3.25E+00,6.10E-04
2026/8/25 08:51,MW2038B10923,A45,A11170,-0.0363,53885.7,53948.8,3.25E+00,4.90E-04
2026/8/25 08:51,MW2038B12797,A47,A20105,-0.0153,51948.8,54558.5,3.25E+00,5.80E-04
2026/8/25 08:50,MW2038B10926,A45,A11170,-0.03227,54683.4,51357.1,3.25E+00,4.90E-04
2026/8/25 08:50,MW2038B16574,A47,A20105,-0.07621,53607.7,51612.7,3.25E+00,6.10E-04
2026/8/25 08:50,MW2038B15601,A45,A11170,-0.01482,53658.4,54312.6,3.24E+00,4.90E-04
2026/8/25 08:50,MW2038B16575,KEF,A20105,-0.09902,50500.6,52770.5,3.25E+00,6.00E-04
2026/8/25 08:49,MW2038B16576,A48,A20105,-0.0594,50409.4,49978.2,3.25E+00,5.90E-04
2026/8/25 08:49,MW2038B15603,C46,A11170,-0.09162,50784.2,51355.4,3.24E+00,5.00E-04
2026/8/25 08:49,MW2038B15317,A47,A10789,-0.06883,50329.5,49593.2,3.25E+00,6.10E-04
2026/8/25 08:49,MW2038B15604,A46,A11170,-0.0901,54194.5,54063.8,3.25E+00,5.00E-04
2026/8/25 08:49,MW2038B15316,A47,A10789,-0.06179,53120.2,50516.5,3.25E+00,6.10E-04
2026/8/25 08:48,MW2038B05443,A47,A17129,-0.0574,54766.7,49490.6,3.25E+00,5.40E-04
2026/8/25 08:48,MW2038B15315,A47,A10789,-0.01424,53993.5,52403.1,3.25E+00,6.10E-04
2026/8/25 08:48,MW2038B05447,A47,A17129,-0.01864,54513.2,50489.1,3.25E+00,5.30E-04
2026/8/25 08:48,MW2038B15314,A47,A10789,-0.02464,53116.8,51098.3,3.25E+00,6.10E-04
2026/8/25 08:48,MW2038B05442,C47,A17129,-0.06344,50632.6,53298.9,3.25E+00,5.10E-04
2026/8/25 08:47,MW2038B15313,B47,A10789,-0.0164,53641.2,50320.3,3.25E+00,6.10E-04
2026/8/25 08:47,MW2038B05436,A47,A17129,-0.01341,50330.3,53966.1,3.25E+00,5.30E-04
2026/8/25 08:47,MW2038B15312,B47,A10789,-0.0783,54119.1,52087.5,3.25E+00,6.30E-04
2026/8/25 08:47,MW2038B05437,A47,A17129,-0.0407,51198.3,52425.9,3.25E+00,5.30E-04
2026/8/25 08:46,MW2038B15310,A47,A10789,-0.01077,52875.9,53277.8,3.24E+00,6.20E-04
2026/8/25 08:46,MW2038B15169,A47,A17129,-0.05121,51809.9,52625.8,3.24E+00,5.00E-04
2026/8/25 08:46,MW2038B15356,A47,A10789,-0.09872,53186.1,52643.2,3.24E+00,6.00E-04
2026/8/25 08:46,MW2038B15170,A47,A17129,-0.07969,54436.9,53297.1,3.24E+00,5.30E-04
2026/8/25 08:46,MW2038B15355,A47,A10789,-0.01232,54685.5,51349.7,3.24E+00,6.20E-04
2026/8/25 08:45,MW2038B15171,A46,A17129,-0.05774,52344.2,54742.1,3.25E+00,5.80E-04
2026/8/25 08:45,MW2038B07821,A47,A10789,-0.01557,52555.6,52751.6,3.25E+00,6.00E-04
2026/8/25 08:45,MW2038B13816,A47,A17129,-0.02787,53731.1,53494.2,3.24E+00,4.90E-04
2026/8/25 08:45,MW2038B10934,A46,A10789,-0.08982,54275.8,52277.8,3.24E+00,6.00E-04
2026/8/25 08:44,MW2038B15168,CLL,A17129,-0.06552,51572.2,51162.2,3.26E+00,1.15E-03
2026/8/25 08:44,MW2038B10933,A46,A10789,-0.01316,51326.9,54594.8,3.24E+00,6.10E-04
2026/8/25 08:44,MW2038B07811,B45,A17129,-0.06212,50669.8,54268.3,3.24E+00,5.20E-04
2026/8/25 08:44,MW2038B05446,A48,A24430,-0.03912,53410.6,50912.1,3.25E+00,6.40E-04
2026/8/25 08:44,MW2038B15141,A48,A17129,-0.08168,51241.4,49959.7,3.25E+00,5.10E-04
2026/8/25 08:43,MW2038B05444,A48,A24430,-0.08172,53535.9,51120.9,3.25E+00,6.40E-04
2026/8/25 08:43,MW2038B15140,A48,A17129,-0.05148,53283.1,50896.3,3.25E+00,5.00E-04
2026/8/25 08:43,MW2038B05453,A47,A24430,-0.0657,51572.8,53144.8,3.25E+00,6.40E-04
2026/8/25 08:43,MW2038B07576,C46,A18728,-0.07702,54826.2,53514.1,3.24E+00,5.40E-04
2026/8/25 08:43,MW2038B10974,KEF,A24430,-0.02566,51863.1,54764.4,3.25E+00,9.40E-04
2026/8/25 08:42,MW2038B07576,C46,A18728,-0.08064,52220.8,49583.2,3.24E+00,5.40E-04
2026/8/25 08:42,MW2038B10974,KEF,A24430,-0.09747,53029.8,49475.3,3.25E+00,9.40E-04
2026/8/25 08:42,MW2038B10893,C47,A18728,-0.027,54565.5,53817.3,3.25E+00,5.70E-04
2026/8/25 08:42,MW2038B05587,A47,A24430,-0.03224,50582.6,54041.6,3.25E+00,6.10E-04
2026/8/25 08:42,MW2038B05587,A47,A24430,-0.09037,53276.4,54847.3,3.25E+00,6.10E-04
2026/8/25 08:42,MW2038B10893,C47,A18728,-0.04516,53441.7,51991.7,3.25E+00,5.70E-04
2026/8/25 08:41,MW2038B13078,A45,A24430,-0.04248,54732.2,49547.1,3.25E+00,5.70E-04
2026/8/25 08:41,MW2038B13210,A46,A18728,-0.08948,52421.9,49581.6,3.24E+00,5.30E-04
2026/8/25 08:41,MW2038B13098,A46,A24430,-0.09102,53185.7,51369.7,3.25E+00,6.10E-04
2026/8/25 08:41,MW2038B16045,A47,A18728,-0.041,51342.7,49527.4,3.25E+00,5.20E-04
2026/8/25 08:41,MW2038B13965,A47,A24430,-0.0344,52772.9,50449.9,3.24E+00,6.00E-04
2026/8/25 08:40,MW2038B13965,A47,A24430,-0.06675,50332.1,54726.6,3.24E+00,6.00E-04
2026/8/25 08:40,MW2038B13818,A47,A18728,-0.05316,54132.2,52481.5,3.24E+00,5.00E-04
2026/8/25 08:38,MW2038B13993,A47,A24430,-0.0321,52767.4,49753.4,3.24E+00,5.90E-04
2026/8/25 08:38,MW2038B13818,A47,A18728,-0.0205,51874.4,51692.7,3.24E+00,5.00E-04
2026/8/25 08:35,MW2038B14126,A47,A24430,-0.06981,54453.3,51439.3,3.25E+00,6.00E-04
2026/8/25 08:35,MW2038B15267,A47,A24430,-0.0678,53359.5,49387.8,3.24E+00,6.10E-04
2026/8/25 08:34,MW2038B15318,A47,A24430,-0.04213,50511.5,53097.4,3.25E+00,6.00E-04
2026/8/25 08:34,MW2038B15944,A47,A13251,-0.03255,54912.8,50436.8,3.24E+00,6.10E-04
2026/8/25 08:33,MW2038B15943,A46,A13251,-0.04114,52255.1,52897.2,3.24E+00,6.00E-04
2026/8/25 08:33,MW2038B16163,A46,A13251,-0.03307,54486.3,51953.7,3.24E+00,6.00E-04
2026/8/25 08:33,MW2038B16162,C46,A13251,-0.04122,54571.6,54793.2,3.24E+00,6.10E-04
2026/8/25 08:32,MW2038B16161,A47,A13251,-0.09106,51821.8,50528.7,3.24E+00,6.00E-04
2026/8/25 08:32,MW2038B16160,A47,A13251,-0.06783,54854.5,49652.2,3.24E+00,6.10E-04
2026/8/25 08:31,MW2038B16159,A47,A13251,-0.02592,53711.3,54923.1,3.25E+00,6.00E-04
2026/8/25 08:31,MW2038B15283,A47,A13251,-0.03928,52894.7,53996.5,3.24E+00,6.10E-04
2026/8/25 08:31,MW2038B15281,A47,A13251,-0.01048,51662.9,54498.6,3.24E+00,6.00E-04
2026/8/25 08:30,MW2038B15240,A47,A13251,-0.05167,53217.9,52385.5,3.24E+00,6.20E-04
2026/8/25 08:30,MW2038B13972,B47,A13251,-0.01227,54581.4,50401.8,3.24E+00,6.10E-04
2026/8/25 08:29,MW2038B15436,A47,A18575,-0.07935,53956.1,50866.2,3.24E+00,6.10E-04
2026/8/25 08:29,MW2038B13818,A47,A18728,-0.02754,53992.9,51336.5,3.24E+00,5.00E-04
2026/8/25 08:29,MW2038B15435,A47,A18575,-0.09042,53806.1,53284.6,3.25E+00,6.10E-04
2026/8/25 08:22,MW2038B15435,A47,A18575,-0.0198,51667.1,53548.4,3.25E+00,6.10E-04
2026/8/25 08:22,MW2038B13818,A47,A18728,-0.0857,51491.8,53640.8,3.24E+00,5.00E-04
2026/8/25 08:21,MW2038B15434,A47,A18575,-0.06098,52113.8,50678.8,3.25E+00,6.20E-04
2026/8/25 08:21,MW2038B13598,A47,A18575,-0.0804,51941.2,51685.7,3.25E+00,6.30E-04
2026/8/25 08:21,MW2038B13818,A47,A18728,-0.0285,51549.2,50344.8,3.24E+00,5.00E-04
2026/8/25 08:20,MW2038B13600,A47,A18575,-0.04876,52842.1,53626.1,3.25E+00,6.20E-04
2026/8/25 08:20,MW2038B02943,A48,A18728,-0.03068,50623.1,52175.9,3.24E+00,4.90E-04
2026/8/25 08:20,MW2038B15433,A48,A18575,-0.05063,51253.9,52758.2,3.25E+00,6.20E-04
2026/8/25 08:20,MW2038B16609,A47,A18728,-0.0311,51366.4,49393.7,3.24E+00,5.00E-04
2026/8/25 08:20,MW2038B15432,A47,A18575,-0.01094,54426.9,54571.9,3.25E+00,6.20E-04
2026/8/25 08:19,MW2038B16597,A47,A18575,-0.05484,52104.7,51137.3,3.25E+00,6.30E-04
2026/8/25 08:19,MW2038B01930,A47,A18728,-0.08052,53880.9,50470.3,3.25E+00,5.10E-04
2026/8/25 08:19,MW2038B13146,A47,A18575,-0.05211,53478.3,51660.5,3.25E+00,6.60E-04
2026/8/25 08:19,MW2038B16672,A46,A18728,-0.08757,52414.2,53533.4,3.25E+00,5.00E-04
2026/8/25 08:18,MW2038B13145,AC20,A18575,-0.04032,51996.9,54891.9,3.25E+00,8.20E-04
2026/8/25 08:18,MW2038B09860,A47,A18728,-0.03405,50614.7,51166.6,3.24E+00,5.10E-04
2026/8/25 08:18,MW2038B13134,CLL,A18575,-0.08162,52599.5,49564.1,3.26E+00,1.18E-03
2026/8/25 08:18,MW2038B09831,A47,A18728,-0.05535,52659.1,50847.6,3.24E+00,4.60E-04
2026/8/25 08:18,MW2038B13132,CLL,A18575,-0.09139,52398.9,54284.4,3.26E+00,1.48E-03
2026/8/25 08:17,MW2038B16424,KGH,A17982,-0.07776,52728.4,49668.2,3.24E+00,5.10E-04
2026/8/25 08:17,MW2038B15522,A48,A17968,-0.01609,54253.8,53132.3,3.24E+00,6.00E-04
2026/8/25 08:17,MW2038B16423,C47,A17982,-0.05725,53889.5,50363.7,3.25E+00,5.70E-04
2026/8/25 08:17,MW2038B15557,C47,A17968,-0.07313,52549.5,53004.8,3.24E+00,6.00E-04
2026/8/25 08:16,MW2038B15494,A47,A17968,-0.08986,51142.5,53437.8,3.24E+00,5.80E-04
2026/8/25 08:16,MW2038B16422,KEF,A17982,-0.07828,51118.2,50112.5,3.26E+00,9.30E-04
2026/8/25 08:16,MW2038B15495,A47,A17968,-0.06822,53444.8,49613.5,3.24E+00,6.10E-04
2026/8/25 08:16,MW2038B10960,B46,A17982,-0.09608,53688.5,54834.1,3.25E+00,5.20E-04
2026/8/25 08:16,MW2038B15496,A47,A17968,-0.02084,51067.4,51584.1,3.24E+00,6.10E-04
2026/8/25 08:16,MW2038B16413,KEF,A17982,-0.0861,51027.9,51752.9,3.25E+00,7.20E-04
2026/8/25 08:15,MW2038B15497,A47,A17968,-0.02459,54522.1,49710.5,3.24E+00,6.00E-04
2026/8/25 08:15,MW2038B15301,B47,A17982,-0.01252,50794.4,54475.7,3.24E+00,5.10E-04
2026/8/25 08:15,MW2038B15498,A48,A17968,-0.04096,53310.4,52108.6,3.24E+00,6.10E-04
2026/8/25 08:15,MW2038B10905,A47,A17982,-0.05498,53533.5,53099.2,3.25E+00,5.30E-04
2026/8/25 08:14,MW2038B12975,B46,A17968,-0.02793,52119.1,52061.3,3.24E+00,5.80E-04
2026/8/25 08:14,MW2038B10903,A47,A17982,-0.09265,53149.7,54640.4,3.25E+00,5.20E-04
2026/8/25 08:14,MW2038B12976,A46,A17968,-0.03937,52250.9,51599.2,3.24E+00,6.10E-04
2026/8/25 08:14,MW2038B13073,A46,A17982,-0.0509,51601.8,54384.2,3.24E+00,4.90E-04
2026/8/25 08:14,MW2038B12962,B46,A17968,-0.07201,52114.2,50722.8,3.24E+00,6.10E-04
2026/8/25 08:13,MW2038B12955,A46,A17982,-0.02293,53536.4,50845.2,3.24E+00,5.00E-04
2026/8/25 08:13,MW2038B12963,A46,A17968,-0.01546,54979.3,54465.3,3.24E+00,6.00E-04
2026/8/25 08:13,MW2038B12950,A46,A17968,-0.04142,52265.8,51363.9,3.24E+00,6.10E-04
2026/8/25 08:13,MW2038B12954,A46,A17982,-0.04333,51998.2,52338.7,3.24E+00,4.90E-04
2026/8/25 08:12,MW2038B07348,A48,A19541,-0.07948,54018.1,52483.9,3.25E+00,6.20E-04
2026/8/25 08:12,MW2038B12951,A46,A17982,-0.0663,53675.8,54559.2,3.24E+00,4.80E-04
2026/8/25 08:12,MW2038B07369,B48,A19541,-0.09455,54442.5,51188.3,3.24E+00,6.20E-04
2026/8/25 08:12,MW2038B07355,A48,A13298,-0.09336,54396.3,54754.4,3.25E+00,5.40E-04
2026/8/25 08:12,MW2038B07370,B48,A19541,-0.07945,52706.3,49884.1,3.25E+00,6.30E-04
2026/8/25 08:11,MW2038B07354,A48,A13298,-0.01656,52347.5,54317.4,3.25E+00,5.10E-04
2026/8/25 08:11,MW2038B16411,C48,A19541,-0.09436,54259.2,49965.6,3.24E+00,6.10E-04
2026/8/25 08:11,MW2038B07353,A48,A13298,-0.04826,51284.1,50944.5,3.25E+00,5.10E-04
2026/8/25 08:11,MW2038B16412,KGH,A19541,-0.0343,52603.7,52597.5,3.24E+00,6.40E-04
2026/8/25 08:11,MW2038B12961,B47,A13298,-0.05692,53989.8,49687.1,3.24E+00,5.10E-04
2026/8/25 08:10,MW2038B16409,C48,A19541,-0.0403,54131.2,50513.9,3.24E+00,6.10E-04
2026/8/25 08:10,MW2038B12960,B47,A13298,-0.03882,51872.4,51501.1,3.24E+00,5.00E-04
2026/8/25 08:10,MW2038B16396,AC20,A19541,-0.06406,51348.9,53952.5,3.25E+00,9.30E-04
2026/8/25 08:10,MW2038B16072,C47,A13298,-0.09625,50677.6,52038.6,3.24E+00,5.10E-04
2026/8/25 08:09,MW2038B07200,A46,A19541,-0.05548,51147.1,50333.4,3.25E+00,6.30E-04
2026/8/25 08:09,MW2038B16073,A47,A13298,-0.05779,53290.9,52132.8,3.24E+00,5.10E-04
2026/8/25 08:09,MW2038B16586,O,A19541,-0.02024,52986.1,54362.9,0.00E+00,0.00E+00
2026/8/25 08:09,MW2038B16074,A47,A13298,-0.04933,51023.5,49772.9,3.24E+00,5.10E-04
2026/8/25 08:08,MW2038B16067,C48,A13298,-0.04068,51907.9,51144.4,3.24E+00,5.00E-04
2026/8/25 08:08,MW2038B12928,A48,A13298,-0.02514,50700.7,52315.6,3.24E+00,5.10E-04
2026/8/25 08:08,MW2038B12929,A48,A13298,-0.06901,54368.3,53304.8,3.24E+00,5.20E-04
2026/8/25 08:07,MW2038B10963,A47,A13298,-0.09067,52561.6,54353.6,3.25E+00,5.10E-04
2026/8/25 08:07,MW2038B15945,A47,A03451,-0.02916,52409.3,52634.8,3.24E+00,5.20E-04
2026/8/25 08:06,MW2038B15946,A47,A03451,-0.04306,52417.3,53796.5,3.24E+00,5.10E-04
2026/8/25 08:06,MW2038B05496,KEF,A03451,-0.07577,53727.8,54341.1,3.25E+00,5.60E-04
2026/8/25 08:05,MW2038B05497,C46,A03451,-0.01147,52359.4,54681.5,3.25E+00,5.50E-04
2026/8/25 08:05,MW2038B05495,A46,A03451,-0.032,54450.4,49428.5,3.25E+00,5.40E-04
2026/8/25 08:04,MW2038B15455,A48,A03451,-0.02882,52130.5,53291.7,3.25E+00,5.10E-04
2026/8/25 08:04,MW2038B15453,A48,A03451,-0.0184,54056.8,52974.5,3.25E+00,5.00E-04
2026/8/25 08:03,MW2038B15452,A48,A03451,-0.06244,50961.9,49243.5,3.25E+00,5.20E-04
2026/8/25 07:43,MW2038B15157,A47,A03451,-0.0979,52875.5,49582.9,3.25E+00,5.10E-04
2026/8/25 07:42,MW2038B15159,A47,A03451,-0.09333,52299.5,54285.6,3.25E+00,5.10E-04
2026/8/25 07:42,MW2038B15158,A47,A03451,-0.04285,54047.3,52932.8,3.25E+00,5.00E-04
2026/8/25 07:42,MW2038B15155,A47,A03451,-0.0635,54969.6,50209.7,3.25E+00,4.90E-04
2026/8/25 07:41,MW2038B10878,KGH,A16081,-0.03846,54610.8,51862.7,3.25E+00,6.60E-04
2026/8/25 07:41,MW2038B10880,C44,A16081,-0.02951,52960.8,50217.5,3.25E+00,7.20E-04
2026/8/25 07:40,MW2038B10881,KEF,A16081,-0.0777,52933.7,51001.7,3.25E+00,6.70E-04
2026/8/25 07:40,MW2038B10882,C46,A16081,-0.06869,53090.8,53002.7,3.25E+00,6.30E-04
2026/8/25 07:39,MW2038B10879,A46,A16081,-0.01648,52014.6,53580.8,3.25E+00,5.80E-04
2026/8/25 07:39,MW2038B11014,A45,A16081,-0.01171,53333.1,53675.2,3.25E+00,4.90E-04
2026/8/25 07:38,MW2038B11024,A46,A16081,-0.01689,53639.4,50387.2,3.25E+00,5.10E-04
2026/8/25 07:38,MW2038B10998,A46,A16081,-0.07308,51593.1,51734.8,3.25E+00,5.10E-04
2026/8/25 07:37,MW2038B16198,A46,A16081,-0.0343,53673.7,52741.7,3.25E+00,5.20E-04
2026/8/25 07:37,MW2038B13168,A46,A16081,-0.09454,50513.9,51350.4,3.25E+00,5.30E-04
2026/8/25 07:37,MW2038B13167,A46,A16081,-0.05637,51228.9,54679.8,3.25E+00,5.30E-04
2026/8/25 07:36,MW2038B13166,A46,A16081,-0.0308,50888.4,53481.2,3.25E+00,5.40E-04
2026/8/25 07:36,MW2038B16467,A48,A05386,-0.0201,50892.1,52119.4,3.25E+00,5.10E-04
2026/8/25 07:35,MW2038B16466,A47,A05386,-0.07747,53090.3,49442.7,3.25E+00,5.20E-04
2026/8/25 07:35,MW2038B16465,A47,A05386,-0.04611,54163.5,54929.1,3.25E+00,5.00E-04
2026/8/25 07:34,MW2038B16464,KEF,A05386,-0.0994,54507.8,53834.3,3.25E+00,4.90E-04
2026/8/25 07:34,MW2038B16463,A47,A05386,-0.05784,50323.7,50212.5,3.24E+00,5.20E-04
2026/8/25 07:33,MW2038B07366,A48,A05386,-0.02263,51131.7,52066.9,3.25E+00,5.30E-04
2026/8/25 07:33,MW2038B07365,A48,A05386,-0.09437,54429.8,52756.3,3.25E+00,5.40E-04
2026/8/25 07:32,MW2038B07364,A48,A05386,-0.01698,53529.7,53711.8,3.25E+00,5.40E-04
2026/8/25 07:32,MW2038B07371,B47,A05386,-0.06431,53252.6,54867.6,3.25E+00,5.60E-04
2026/8/25 07:32,MW2038B16427,KEF,A05386,-0.03971,54456.9,53883.7,3.25E+00,5.10E-04
2026/8/25 07:31,MW2038B16426,B48,A05386,-0.09045,50460.3,49884.2,3.25E+00,5.20E-04
2026/8/25 07:31,MW2038B16425,B48,A05386,-0.02582,54313.5,52143.3,3.25E+00,5.10E-04
2026/8/25 07:30,MW2038B15139,A48,A09016,-0.0455,52607.3,52394.8,3.24E+00,5.20E-04
2026/8/25 07:30,MW2038B15138,A48,A09016,-0.01098,51665.6,51591.1,3.24E+00,4.90E-04
2026/8/25 07:29,MW2038B15999,A47,A09016,-0.08384,52359.6,54468.8,3.24E+00,4.90E-04
2026/8/25 07:29,MW2038B16000,A47,A09016,-0.04174,52753.5,54101.9,3.24E+00,5.00E-04
2026/8/25 07:29,MW2038B16587,A47,A19541,-0.03713,50932.7,51665.3,3.25E+00,6.00E-04
2026/8/25 07:28,MW2038B16001,A47,A09016,-0.06662,50738.1,53136.3,3.24E+00,4.90E-04
2026/8/25 07:28,MW2038B16588,A47,A19541,-0.01961,51083.6,51775.8,3.25E+00,6.10E-04
2026/8/25 07:28,MW2038B12958,B47,A09016,-0.04211,54453.3,51934.4,3.25E+00,5.00E-04
2026/8/25 07:28,MW2038B16589,A47,A19541,-0.07224,54981.3,54860.6,3.25E+00,6.00E-04
2026/8/25 07:28,MW2038B12957,C47,A09016,-0.0912,52410.9,51693.2,3.25E+00,5.10E-04
2026/8/25 07:27,MW2038B10889,A47,A21655,-0.09876,54785.2,54490.1,3.25E+00,7.00E-04
2026/8/25 07:27,MW2038B12969,B47,A09016,-0.07283,54069.3,52698.5,3.25E+00,5.20E-04
2026/8/25 07:27,MW2038B16580,A48,A09016,-0.0948,53611.2,49580.7,3.25E+00,5.10E-04
2026/8/25 07:26,MW2038B16578,A48,A09016,-0.09748,51134.7,53740.7,3.25E+00,5.20E-04
2026/8/25 07:26,MW2038B16579,KEF,A09016,-0.02992,52877.1,51303.6,3.25E+00,5.30E-04
2026/8/25 07:25,MW2038B16577,A48,A09016,-0.09981,50352.4,53271.4,3.25E+00,5.10E-04
2026/8/25 07:25,MW2038B12930,B48,A15708,-0.04697,53167.2,53459.7,3.24E+00,5.10E-04
2026/8/25 07:25,MW2038B10890,A47,A21655,-0.01222,51134.2,53574.5,3.25E+00,6.30E-04
2026/8/25 07:24,MW2038B12934,A48,A15708,-0.06689,51376.2,49202.6,3.24E+00,5.20E-04
2026/8/25 07:24,MW2038B10999,A47,A21655,-0.0734,51707.8,53549.1,3.25E+00,6.10E-04
2026/8/25 07:24,MW2038B12931,B48,A15708,-0.05829,52686.1,49780.4,3.24E+00,5.10E-04
2026/8/25 07:24,MW2038B13041,A46,A21655,-0.0402,50776.8,50861.6,3.25E+00,5.80E-04
2026/8/25 07:24,MW2038B12947,A48,A15708,-0.0919,53717.1,51502.2,3.24E+00,5.00E-04
2026/8/25 07:23,MW2038B13161,A46,A21655,-0.08751,52749.8,50197.8,3.25E+00,6.40E-04
2026/8/25 07:23,MW2038B12948,A48,A15708,-0.06397,50354.1,50792.1,3.25E+00,5.00E-04
2026/8/25 07:23,MW2038B13163,A46,A21655,-0.0832,53627.6,49497.3,3.25E+00,6.40E-04
2026/8/25 07:23,MW2038B12944,A46,A15708,-0.09549,51212.6,52595.2,3.24E+00,5.00E-04
2026/8/25 07:22,MW2038B11004,A47,A21655,-0.06265,52039.3,54462.1,3.25E+00,6.00E-04
2026/8/25 07:22,MW2038B12953,B45,A15708,-0.02513,53814.6,49503.3,3.24E+00,5.10E-04
2026/8/25 07:22,MW2038B11007,A47,A21655,-0.06163,51275.3,54570.6,3.25E+00,6.10E-04
2026/8/25 07:22,MW2038B12952,B45,A15708,-0.0784,53133.9,51805.3,3.24E+00,5.10E-04
2026/8/25 07:22,MW2038B11009,A47,A21655,-0.09597,52527.6,51166.4,3.24E+00,6.10E-04
2026/8/25 07:21,MW2038B12956,A46,A15708,-0.02072,52192.7,54331.2,3.24E+00,5.00E-04
2026/8/25 07:21,MW2038B11008,A46,A21655,-0.08923,52392.2,53946.5,3.25E+00,6.00E-04
2026/8/25 07:21,MW2038B16324,A47,A15708,-0.09528,52401.1,52057.8,3.24E+00,5.10E-04
2026/8/25 07:21,MW2038B11006,A47,A21655,-0.03666,53235.4,49642.5,3.25E+00,6.00E-04
2026/8/25 07:20,MW2038B16326,A47,A15708,-0.01583,51552.7,49499.4,3.24E+00,5.10E-04
2026/8/25 07:20,MW2038B13128,CLL,A05919,-0.07373,52547.6,50897.8,3.26E+00,1.09E-03
2026/8/25 07:20,MW2038B13131,AC20,A05919,-0.04578,53483.3,51170.5,3.25E+00,8.60E-04
2026/8/25 07:20,MW2038B16327,A47,A15708,-0.05295,54942.5,52852.7,3.24E+00,5.00E-04
2026/8/25 07:20,MW2038B13129,B46,A05919,-0.09458,52477.1,52920.7,3.25E+00,7.40E-04
2026/8/25 07:20,MW2038B15655,A47,A10939,-0.08213,50452.8,54094.6,3.25E+00,5.10E-04
2026/8/25 07:19,MW2038B12968,A47,A05919,-0.03831,51197.3,54358.3,3.25E+00,6.60E-04
2026/8/25 07:19,MW2038B15656,A47,A10939,-0.03347,52742.6,50494.2,3.24E+00,5.20E-04
2026/8/25 07:19,MW2038B07170,A48,A05919,-0.01427,50399.1,53798.8,3.25E+00,6.20E-04
2026/8/25 07:19,MW2038B15657,A48,A10939,-0.02403,53241.1,52473.6,3.24E+00,5.10E-04
