ID,Time,PLCCellID_CE,PLCCellIDClass_CE,BacirEchk_CE,MESSENDOUTCELLPOS,MESSENDOUTCELLID,PLCTrayID_CE,K_Value,3.45V_mAH,3.5-2.8V_mAH,acirVP12_CE,acirRP12_CE,CellThicknessP12_CE,PLCStartTime_CE,PLCCompleteTme_CE
1821470,2026/8/19 18:51,MW2045B50463,AC20,NULL,10,                    ,A17076,-0.01039,51336.4,53917.5,3.23E+00,8.80E-04,18124,NULL,268
1821469,2026/8/19 18:51,MW2044B13608,A45,NULL,5,NULL,A05698,-0.0112,50663.6,53224.7,3.23E+00,8.00E-04,18483,NULL,268
1821468,2026/8/19 18:51,MW2045B00719,AC20,NULL,10,                    ,A17076,-0.01771,53080.6,53151.7,3.23E+00,8.10E-04,18295,NULL,268
1821467,2026/8/19 18:51,MW2044B13606,A45,NULL,5,NULL,A05698,-0.0098,51366.3,52782.4,3.24E+00,7.70E-04,18467,NULL,268
1821466,2026/8/19 18:50,MW2045B49637,AC20,NULL,10,                    ,A17076,-0.00653,50299.8,52304.5,3.24E+00,8.90E-04,17801,NULL,268
1821465,2026/8/19 18:50,MW2044B13607,A46,NULL,6,NULL,A05698,-0.01253,52824.1,52044.7,3.24E+00,7.70E-04,18440,NULL,268
1821464,2026/8/19 18:50,MW2045B50022,AC20,NULL,10,                    ,A17076,-0.01615,51478.7,52764.2,3.24E+00,8.90E-04,18125,NULL,268
1821463,2026/8/19 18:50,MW2045B55763,A46,NULL,6,NULL,A14175,-0.01489,52693.6,50602.8,3.24E+00,7.60E-04,18497,NULL,268
1821462,2026/8/19 18:50,MW2045B50103,AC20,NULL,10,                    ,A17076,-0.01987,52342.6,52752.5,3.23E+00,9.20E-04,18049,NULL,268
1821461,2026/8/19 18:49,MW2045B41346,A48,NULL,8,NULL,A14175,0.00625,53428.3,51836.5,3.24E+00,7.20E-04,18760,NULL,268
1821460,2026/8/19 18:49,MW2044B12179,AC20,NULL,10,                    ,A17076,-0.00048,53167.7,51787.4,3.24E+00,8.80E-04,18398,NULL,268
1821459,2026/8/19 18:49,MW2044B26198,A46,NULL,6,NULL,A14175,-0.00941,53931.3,50134.5,3.24E+00,8.00E-04,18721,NULL,268
1821458,2026/8/19 18:49,MW2044B20862,AC20,NULL,10,                    ,A17076,-0.00523,54054.7,50599.2,3.23E+00,8.40E-04,18354,NULL,268
1821457,2026/8/19 18:48,MW2044B20861,AC20,NULL,10,                    ,A17076,-0.01372,52292.2,52567.8,3.23E+00,8.60E-04,18474,NULL,268
1821456,2026/8/19 18:48,MW2044B26082,A45,NULL,5,NULL,A14175,0.00178,53332.3,53892.2,3.24E+00,7.70E-04,18537,NULL,268
1821455,2026/8/19 18:48,MW2045B50582,AC20,NULL,10,                    ,A17076,-0.00236,51673.8,53487.2,3.24E+00,8.60E-04,18098,NULL,268
1821454,2026/8/19 18:48,MW2044B24369,A46,NULL,6,NULL,A14175,0.00086,52283.7,54033.3,3.24E+00,7.40E-04,18572,NULL,268
1821453,2026/8/19 18:47,MW2044B11187,AC20,NULL,10,                    ,A17076,-0.00412,50698.8,51562.4,3.24E+00,8.90E-04,18136,NULL,268
1821452,2026/8/19 18:47,MW2044B24370,A46,NULL,6,NULL,A14175,-0.0022,51727.2,52935.4,3.24E+00,7.50E-04,18884,NULL,268
1821451,2026/8/19 18:47,MW2044B13604,AC20,NULL,10,                    ,A17076,-0.02663,53204.7,53649.2,3.23E+00,8.50E-04,18166,NULL,268
1821450,2026/8/19 18:47,MW2044B24371,A46,NULL,6,NULL,A14175,-0.02499,50570.7,53126.2,3.24E+00,7.40E-04,18542,NULL,268
1821449,2026/8/19 18:47,MW2044B13605,AC20,NULL,10,                    ,A17076,-0.0237,54964.5,52353.6,3.24E+00,8.40E-04,18179,NULL,268
1821448,2026/8/19 18:46,MW2044B24373,A47,NULL,7,NULL,A14175,-0.02344,52548.2,52043.4,3.24E+00,7.60E-04,18809,NULL,268
1821447,2026/8/19 18:46,MW2045B47802,AC20,NULL,10,                    ,A10631,-0.00464,54267.9,50507.6,3.23E+00,8.10E-04,18142,NULL,268
1821446,2026/8/19 18:46,MW2044B24374,A46,NULL,6,NULL,A14175,-0.02285,50790.6,51587.3,3.24E+00,7.70E-04,18654,NULL,268
1821445,2026/8/19 18:46,MW2045B57785,AC20,NULL,10,                    ,A10631,-0.00529,51635.5,52725.9,3.23E+00,9.10E-04,18119,NULL,268
1821444,2026/8/19 18:45,MW2044B24375,A46,NULL,6,NULL,A14175,-0.02561,52338.4,50555.1,3.24E+00,7.50E-04,18562,NULL,268
1821443,2026/8/19 18:45,MW2045B57783,AC20,NULL,10,                    ,A10631,-0.03446,53895.2,50969.5,3.23E+00,8.60E-04,18113,NULL,268
1821442,2026/8/19 18:45,MW2044B24377,A46,NULL,6,NULL,A14175,-0.01552,54000.4,50187.9,3.24E+00,8.00E-04,18618,NULL,268
1821441,2026/8/19 18:45,MW2045B49053,A46,NULL,6,                    ,A10631,-0.03156,52599.8,51614.3,3.23E+00,8.00E-04,18272,NULL,268
1821440,2026/8/19 18:45,MW2044B24378,A46,NULL,6,NULL,A14175,-0.02673,51139.2,51611.6,3.24E+00,7.70E-04,18640,NULL,268
1821439,2026/8/19 18:45,MW2045B56895,AC20,NULL,10,                    ,A10631,-0.03432,54950.9,50910.3,3.23E+00,8.50E-04,18389,NULL,268
1821438,2026/8/19 18:44,MW2045B56894,AC20,NULL,10,                    ,A10631,-0.02731,50858.2,53601.5,3.23E+00,8.40E-04,18212,NULL,268
1821437,2026/8/19 18:44,MW2044B12720,A46,NULL,6,NULL,A18276,-0.06279,50555.9,50889.4,3.23E+00,7.70E-04,18910,NULL,268
1821436,2026/8/19 18:44,MW2045B60933,AC20,NULL,10,                    ,A10631,-0.0278,53595.8,51543.9,3.24E+00,8.70E-04,18143,NULL,268
1821435,2026/8/19 18:44,MW2044B20220,C47,NULL,24,NULL,A18276,-0.03872,54725.3,52523.1,3.23E+00,7.60E-04,18987,NULL,268
1821434,2026/8/19 18:43,MW2044B06239,AC20,NULL,10,                    ,A10631,-0.02538,53962.4,54476.2,3.24E+00,8.20E-04,18292,NULL,268
1821433,2026/8/19 18:43,MW2045B56002,CHH,NULL,20,NULL,A18276,-0.03624,53615.9,54779.1,3.24E+00,7.50E-04,18709,NULL,268
1821432,2026/8/19 18:43,MW2044B09664,AC20,NULL,10,                    ,A10631,-0.02254,51642.7,51792.6,3.23E+00,8.60E-04,18139,NULL,268
1821431,2026/8/19 18:43,MW2045B29293,CHH,NULL,20,NULL,A18276,-0.03379,51862.5,52174.8,3.23E+00,7.00E-04,18788,NULL,268
1821430,2026/8/19 18:43,MW2045B31343,AC20,NULL,10,                    ,A10631,0.03517,52582.2,54719.6,3.23E+00,8.30E-04,18256,NULL,268
1821429,2026/8/19 18:42,MW2045B29012,CHH,NULL,20,NULL,A18276,-0.03704,54839.1,51218.3,3.23E+00,7.20E-04,18778,NULL,268
1821428,2026/8/19 18:42,MW2045B52330,AC20,NULL,10,                    ,A10631,0.02931,51195.2,52582.6,3.24E+00,8.70E-04,17916,NULL,268
1821427,2026/8/19 18:42,MW2045B56893,A47,NULL,7,NULL,A18276,-0.03967,50755.4,54742.4,3.24E+00,7.60E-04,18567,NULL,268
1821426,2026/8/19 18:42,MW2045B16439,CHH,NULL,20,                    ,A10631,0.0283,50422.6,52506.6,3.24E+00,7.90E-04,18175,NULL,268
1821425,2026/8/19 18:41,MW2045B29296,CHH,NULL,20,NULL,A18276,-0.04123,51990.4,54085.5,3.23E+00,7.30E-04,18749,NULL,268
1821424,2026/8/19 18:41,MW2045B04285,AC20,NULL,10,                    ,A04637,-0.03362,50861.8,50726.8,3.24E+00,8.90E-04,18044,NULL,268
1821423,2026/8/19 18:41,MW2045B03946,AC20,NULL,10,                    ,A04637,0.03151,51283.9,51541.7,3.23E+00,8.40E-04,18240,NULL,268
1821422,2026/8/19 18:41,MW2045B56907,A47,NULL,7,NULL,A18276,-0.03321,51750.6,54495.3,3.24E+00,7.90E-04,18623,NULL,268
1821421,2026/8/19 18:41,MW2044B19219,AC20,NULL,10,                    ,A04637,0.03479,51773.5,51643.9,3.24E+00,9.30E-04,18198,NULL,268
1821420,2026/8/19 18:40,MW2045B56908,A47,NULL,7,NULL,A18276,-0.01627,52232.4,51219.9,3.24E+00,7.70E-04,18819,NULL,268
1821419,2026/8/19 18:40,MW2045B53863,A46,NULL,6,                    ,A04637,0.03183,53829.4,54957.4,3.24E+00,8.00E-04,18277,NULL,268
1821418,2026/8/19 18:40,MW2045B57749,A45,NULL,5,NULL,A18276,-0.01591,51494.8,54959.7,3.24E+00,8.00E-04,18493,NULL,268
1821417,2026/8/19 18:40,MW2045B41373,AC20,NULL,10,                    ,A04637,0.04667,53011.8,54542.9,3.24E+00,9.10E-04,18310,NULL,268
1821416,2026/8/19 18:39,MW2045B57764,A45,NULL,5,NULL,A18276,-0.01688,52189.3,50898.2,3.23E+00,7.90E-04,18588,NULL,268
1821415,2026/8/19 18:39,MW2045B41372,AC20,NULL,10,                    ,A04637,-0.01516,51727.4,51566.7,3.24E+00,8.60E-04,18279,NULL,268
1821414,2026/8/19 18:39,MW2045B57812,AC20,NULL,10,NULL,A18276,0.03309,50272.8,52973.9,3.24E+00,8.10E-04,18612,NULL,268
1821413,2026/8/19 18:36,MW2045B04286,C46,NULL,23,NULL,A03084,-0.01276,54596.6,51186.1,3.23E+00,7.70E-04,18639,NULL,268
1821412,2026/8/19 18:36,MW2044B23259,AC20,NULL,10,                    ,A04637,0.01928,54309.9,54104.3,3.23E+00,8.20E-04,18268,NULL,268
1821411,2026/8/19 18:36,MW2045B17076,A45,NULL,5,NULL,A03084,-0.01158,53454.6,53230.1,3.23E+00,7.40E-04,18683,NULL,268
1821410,2026/8/19 18:36,MW2044B23257,AC20,NULL,10,                    ,A04637,-0.01871,51162.6,53869.2,3.23E+00,8.60E-04,18430,NULL,268
1821409,2026/8/19 18:35,MW2045B11380,B46,NULL,13,NULL,A03084,-0.01089,53221.1,52363.5,3.23E+00,7.40E-04,18649,NULL,268
1821408,2026/8/19 18:35,MW2045B57931,AC20,NULL,10,                    ,A04637,-0.01523,52326.2,51739.9,3.24E+00,9.00E-04,18139,NULL,268
1821407,2026/8/19 18:35,MW2045B57932,AC20,NULL,10,                    ,A04637,-0.02312,54483.4,51306.2,3.24E+00,8.90E-04,18161,NULL,268
1821406,2026/8/19 18:35,MW2042B05455,A44,NULL,4,NULL,A03084,-0.01436,54069.6,54578.9,3.24E+00,7.60E-04,18947,NULL,268
1821405,2026/8/19 18:35,MW2045B57809,AC20,NULL,10,                    ,A04637,-0.01627,54350.1,52153.2,3.24E+00,8.90E-04,18158,NULL,268
1821404,2026/8/19 18:34,MW2042B02727,C45,NULL,22,NULL,A03084,-0.00077,53852.9,51478.1,3.23E+00,7.40E-04,18478,NULL,268
1821403,2026/8/19 18:34,MW2045B57934,AC20,NULL,10,                    ,A04637,-0.02133,53291.9,51096.1,3.24E+00,8.70E-04,18227,NULL,268
1821402,2026/8/19 18:34,MW2044B13354,A46,NULL,6,NULL,A03084,-0.03251,52693.5,51295.4,3.24E+00,7.70E-04,18549,NULL,268
1821401,2026/8/19 18:34,MW2045B57829,AC20,NULL,10,                    ,A19560,-0.00994,50847.2,52503.5,3.24E+00,8.70E-04,18109,NULL,268
1821400,2026/8/19 18:33,MW2044B13355,A46,NULL,6,NULL,A03084,-0.01456,51490.2,51470.9,3.24E+00,8.00E-04,18588,NULL,268
1821399,2026/8/19 18:33,MW2044B04998,AC20,NULL,10,                    ,A19560,-0.0117,51030.1,52143.3,3.23E+00,8.60E-04,18308,NULL,268
1821398,2026/8/19 18:33,MW2044B14342,A45,NULL,5,NULL,A03084,-0.00548,51777.3,51549.1,3.24E+00,7.50E-04,18340,NULL,268
1821397,2026/8/19 18:33,MW2044B05001,AC20,NULL,10,                    ,A19560,-0.00551,50395.5,52397.3,3.23E+00,8.40E-04,18014,NULL,268
1821396,2026/8/19 18:33,MW2045B25857,B45,NULL,12,NULL,A03084,-0.01206,54698.7,51290.4,3.24E+00,7.90E-04,18762,NULL,268
1821395,2026/8/19 18:32,MW2044B05002,AC20,NULL,10,                    ,A19560,-0.00667,53134.5,53231.9,3.23E+00,8.80E-04,18239,NULL,268
1821394,2026/8/19 18:32,MW2044B04995,A46,NULL,6,NULL,A03084,-0.00607,53166.5,53758.8,3.23E+00,7.90E-04,18441,NULL,268
1821393,2026/8/19 18:32,MW2044B04982,AC20,NULL,10,                    ,A19560,0.06496,50056.4,54316.8,3.23E+00,9.00E-04,18276,NULL,268
1821392,2026/8/19 18:32,MW2044B05863,A44,NULL,4,NULL,A03084,-0.00557,54081.6,53869.5,3.23E+00,7.60E-04,18610,NULL,268
1821391,2026/8/19 18:32,MW2044B06698,AC20,NULL,10,                    ,A19560,-0.00431,50171.8,53677.3,3.24E+00,8.90E-04,18109,NULL,268
1821390,2026/8/19 18:31,MW2044B05032,A46,NULL,6,NULL,A03084,-0.01855,51049.5,52628.3,3.23E+00,7.40E-04,18537,NULL,268
1821389,2026/8/19 18:31,MW2044B06701,AC20,NULL,10,                    ,A19560,-0.0044,54785.4,54144.4,3.23E+00,8.80E-04,18152,NULL,268
1821388,2026/8/19 18:31,MW2045B16770,O,NULL,1,NULL,A04712,-0.00861,50280.7,54574.2,0.00E+00,0.00E+00,18635,NULL,268
1821387,2026/8/19 18:31,MW2044B17327,AC20,NULL,10,                    ,A19560,-0.00198,54297.4,50621.4,3.23E+00,9.00E-04,18193,NULL,268
1821386,2026/8/19 18:31,MW2044B17327,AC20,NULL,10,                    ,A19560,-0.00717,53954.1,50803.2,3.23E+00,9.00E-04,18193,NULL,268
1821385,2026/8/19 18:30,MW2044B17340,AC20,NULL,10,                    ,A19560,-0.00553,51730.5,50719.5,3.23E+00,8.50E-04,18298,NULL,268
1821384,2026/8/19 18:29,MW2044B17339,AC20,NULL,10,                    ,A19560,-0.00455,52417.6,50291.1,3.23E+00,8.70E-04,18159,NULL,268
1821383,2026/8/19 18:28,MW2044B17683,AC20,NULL,10,                    ,A19560,-0.00601,53924.1,51696.3,3.23E+00,8.50E-04,18336,NULL,268
1821382,2026/8/19 18:28,MW2044B05165,AC20,NULL,10,                    ,A19560,-0.00584,51298.3,54520.3,3.23E+00,8.50E-04,18179,NULL,268
1821381,2026/8/19 18:27,MW2045B16769,AC20,NULL,10,                    ,A04934,-0.01593,52529.9,50894.8,3.23E+00,8.20E-04,18364,NULL,268
1821380,2026/8/19 18:27,MW2044B05503,AC20,NULL,10,NULL,A04712,-0.0224,52725.5,53817.4,3.23E+00,8.10E-04,18726,NULL,268
1821379,2026/8/19 18:27,MW2045B15950,AC20,NULL,10,                    ,A04934,-0.01551,50539.6,53480.2,3.23E+00,8.40E-04,18329,NULL,268
1821378,2026/8/19 18:27,MW2044B05524,A46,NULL,6,NULL,A04712,-0.00446,53400.2,51847.5,3.23E+00,7.60E-04,18605,NULL,268
1821377,2026/8/19 18:26,MW2045B17235,AC20,NULL,10,                    ,A04934,-0.00947,54538.4,51182.7,3.23E+00,8.60E-04,18125,NULL,268
1821376,2026/8/19 18:26,MW2044B09891,A46,NULL,6,NULL,A04712,-6.00E-05,52078.6,51175.3,3.23E+00,7.90E-04,18484,NULL,268
1821375,2026/8/19 18:26,MW2045B14797,AC20,NULL,10,                    ,A04934,0.02788,51843.1,50561.2,3.23E+00,8.30E-04,18220,NULL,268
1821374,2026/8/19 18:26,MW2044B09893,A46,NULL,6,NULL,A04712,-0.01739,53458.3,54970.6,3.23E+00,7.80E-04,18500,NULL,268
1821373,2026/8/19 18:26,MW2045B14815,AC20,NULL,10,                    ,A04934,0.03496,54486.2,54710.6,3.23E+00,8.60E-04,18194,NULL,268
1821372,2026/8/19 18:25,MW2045B15915,A45,NULL,5,NULL,A04712,-0.01607,51810.3,52936.7,3.23E+00,7.50E-04,18594,NULL,268
1821371,2026/8/19 18:25,MW2045B18065,AC20,NULL,10,                    ,A04934,0.0417,54473.2,52763.5,3.23E+00,8.70E-04,18433,NULL,268
1821370,2026/8/19 18:25,MW2045B15885,B44,NULL,11,NULL,A04712,-0.09494,53494.9,50822.2,3.23E+00,7.50E-04,18626,NULL,268
1821369,2026/8/19 18:25,MW2045B16853,AC20,NULL,10,                    ,A04934,0.03394,54774.5,53695.9,3.23E+00,8.70E-04,18335,NULL,268
1821368,2026/8/19 18:24,MW2045B03507,D46,NULL,29,NULL,A04712,-0.02282,54568.5,54367.4,3.24E+00,7.60E-04,18359,NULL,268
1821367,2026/8/19 18:24,MW2045B16751,AC20,NULL,10,                    ,A04934,-0.0242,53453.4,54063.7,3.23E+00,8.40E-04,18253,NULL,268
1821366,2026/8/19 18:24,MW2045B05043,AC20,NULL,10,                    ,A04934,0.0237,53861.8,53243.7,3.24E+00,9.00E-04,18226,NULL,268
1821365,2026/8/19 18:24,MW2045B03502,D46,NULL,29,NULL,A04712,-0.02353,54423.1,52983.5,3.24E+00,7.80E-04,18491,NULL,268
1821364,2026/8/19 18:24,MW2044B10650,AC20,NULL,10,                    ,A04934,0.02051,50165.3,52290.7,3.23E+00,8.60E-04,18322,NULL,268
1821363,2026/8/19 18:24,MW2045B18067,AC20,NULL,10,NULL,A04712,-0.02245,50511.5,51324.1,3.23E+00,8.10E-04,18874,NULL,268
1821362,2026/8/19 18:23,MW2045B53846,AC20,NULL,10,                    ,A04934,0.0329,51252.4,51623.6,3.24E+00,8.10E-04,18171,NULL,268
1821361,2026/8/19 18:23,MW2045B29251,B44,NULL,11,NULL,A04712,-0.02145,53264.2,53312.8,3.24E+00,7.20E-04,18563,NULL,268
1821360,2026/8/19 18:23,MW2045B57831,AC20,NULL,10,                    ,A04934,0.0227,51825.6,54153.7,3.24E+00,9.00E-04,18180,NULL,268
1821359,2026/8/19 18:23,MW2045B29250,B44,NULL,11,NULL,A04712,-0.02388,50841.8,54472.7,3.23E+00,7.80E-04,18685,NULL,268
1821358,2026/8/19 18:22,MW2017B07087,AC20,NULL,10,                    ,A23070,0.02234,54170.6,52059.4,3.22E+00,8.80E-04,18228,NULL,268
1821357,2026/8/19 18:22,MW2044B13405,A46,NULL,6,NULL,A11607,0.02226,54212.3,50827.7,3.24E+00,7.90E-04,18600,NULL,268
1821356,2026/8/19 18:22,MW2017B07868,AC20,NULL,10,                    ,A23070,-0.02165,53692.1,52254.9,3.22E+00,8.30E-04,18248,NULL,268
1821355,2026/8/19 18:22,MW2044B08301,A46,NULL,6,NULL,A11607,0.03444,51844.8,51903.9,3.23E+00,7.10E-04,18596,NULL,268
1821354,2026/8/19 18:22,MW2017B07914,AC20,NULL,10,                    ,A23070,-0.02052,54606.9,51939.8,3.22E+00,8.80E-04,18330,NULL,268
1821353,2026/8/19 18:21,MW2017B07119,CHH,NULL,20,NULL,A11607,0.03302,50232.2,51953.2,3.22E+00,7.30E-04,18707,NULL,268
1821352,2026/8/19 18:21,MW2017B09206,AC20,NULL,10,                    ,A23070,-0.03546,53046.5,51181.6,3.22E+00,8.10E-04,18458,NULL,268
1821351,2026/8/19 18:21,MW2017B07117,CHH,NULL,20,NULL,A11607,-0.02722,50707.1,50848.9,3.22E+00,7.20E-04,18512,NULL,268
1821350,2026/8/19 18:21,MW2045B57347,AC20,NULL,10,                    ,A23070,-0.02653,53619.7,50287.7,3.24E+00,8.30E-04,18235,NULL,268
1821349,2026/8/19 18:20,MW2045B55757,A46,NULL,6,NULL,A11607,-0.01526,54626.1,51256.3,3.24E+00,7.20E-04,18470,NULL,268
1821348,2026/8/19 18:20,MW2045B57348,AC20,NULL,10,                    ,A23070,-0.02957,50093.6,52519.5,3.24E+00,8.50E-04,18287,NULL,268
1821347,2026/8/19 18:20,MW2045B47769,AC20,NULL,10,                    ,A23070,-0.05008,53854.9,53495.1,3.23E+00,8.50E-04,18318,NULL,268
1821346,2026/8/19 18:20,MW2045B55765,A46,NULL,6,NULL,A11607,-0.03185,53374.9,52368.5,3.24E+00,7.30E-04,18496,NULL,268
1821345,2026/8/19 18:20,MW2045B47770,AC20,NULL,10,                    ,A23070,-0.04354,52303.9,50681.7,3.23E+00,8.30E-04,18252,NULL,268
1821344,2026/8/19 18:19,MW2045B55756,A46,NULL,6,NULL,A11607,-0.03016,53774.4,53036.8,3.24E+00,7.30E-04,18624,NULL,268
1821343,2026/8/19 18:19,MW2045B47652,A46,NULL,6,NULL,A11607,-0.06098,50224.3,52654.1,3.23E+00,7.50E-04,18655,NULL,268
1821342,2026/8/19 18:19,MW2044B22053,AC20,NULL,10,                    ,A23070,-0.03143,53460.1,51675.4,3.23E+00,8.80E-04,18354,NULL,268
1821341,2026/8/19 18:18,MW2044B23366,C46,NULL,23,NULL,A11607,-0.02059,51690.2,54808.2,3.23E+00,7.10E-04,18688,NULL,268
1821340,2026/8/19 18:18,MW2044B22053,AC20,NULL,10,                    ,A23070,-0.02499,51864.7,51773.3,3.23E+00,8.80E-04,18354,NULL,268
1821339,2026/8/19 18:18,MW2044B23367,A46,NULL,6,NULL,A11607,-0.03427,54181.5,50798.3,3.24E+00,7.30E-04,18684,NULL,268
1821338,2026/8/19 18:17,MW2044B22050,AC20,NULL,10,                    ,A23070,-0.02872,52372.5,54648.6,3.23E+00,9.00E-04,18314,NULL,268
1821337,2026/8/19 18:17,MW2044B23370,A46,NULL,6,NULL,A11607,-0.00188,53933.3,53852.2,3.23E+00,7.20E-04,18729,NULL,268
1821336,2026/8/19 18:17,MW2044B22051,AC20,NULL,10,                    ,A23070,-0.02857,51060.8,52163.2,3.23E+00,8.90E-04,18365,NULL,268
1821335,2026/8/19 18:17,MW2044B23371,A45,NULL,5,NULL,A11607,-0.03714,54942.9,53215.9,3.24E+00,7.10E-04,18604,NULL,268
1821334,2026/8/19 18:17,MW2045B57668,AC20,NULL,10,                    ,A23070,-0.02625,51009.9,51608.4,3.24E+00,9.10E-04,18326,NULL,268
1821333,2026/8/19 18:16,MW2045B57162,AC20,NULL,10,NULL,A04674,-0.03685,52680.6,51508.9,3.24E+00,8.10E-04,18389,NULL,268
1821332,2026/8/19 18:16,MW2045B57431,AC20,NULL,10,                    ,A03456,-0.0566,52444.8,51369.7,3.24E+00,8.70E-04,18143,NULL,268
1821331,2026/8/19 18:16,MW2017B09217,CHH,NULL,20,NULL,A04674,-0.02922,54038.8,51508.1,3.21E+00,6.80E-04,18919,NULL,268
1821330,2026/8/19 18:16,MW2044B13404,AC20,NULL,10,                    ,A03456,-0.02507,53673.4,52455.6,3.23E+00,8.10E-04,18197,NULL,268
1821329,2026/8/19 18:15,MW2044B08315,AC20,NULL,10,                    ,A03456,-0.03212,50044.4,51391.6,3.23E+00,8.90E-04,18608,NULL,268
1821328,2026/8/19 18:15,MW2045B55954,A46,NULL,6,NULL,A04674,-0.02036,50968.4,52970.8,3.24E+00,7.20E-04,18533,NULL,268
1821327,2026/8/19 18:15,MW2045B57188,A45,NULL,5,NULL,A04674,-0.02887,51077.3,51813.6,3.24E+00,8.00E-04,18482,NULL,268
1821326,2026/8/19 18:15,MW2044B08542,AC20,NULL,10,                    ,A03456,-0.02997,52486.8,50258.2,3.24E+00,8.30E-04,18180,NULL,268
1821325,2026/8/19 18:14,MW2045B55836,A45,NULL,5,NULL,A04674,-0.02358,50380.7,54649.8,3.24E+00,7.50E-04,18625,NULL,268
1821324,2026/8/19 18:14,MW2044B08536,AC20,NULL,10,                    ,A03456,-0.02988,51029.7,54903.4,3.24E+00,8.10E-04,18277,NULL,268
1821323,2026/8/19 18:14,MW2045B55851,A46,NULL,6,NULL,A04674,-0.02645,54154.5,52095.5,3.24E+00,7.20E-04,18633,NULL,268
1821322,2026/8/19 18:14,MW2044B13493,AC20,NULL,10,                    ,A03456,-0.03073,51539.6,54199.9,3.23E+00,8.20E-04,18298,NULL,268
1821321,2026/8/19 18:14,MW2045B55739,B46,NULL,13,NULL,A04674,-0.02367,54092.6,51529.9,3.24E+00,7.40E-04,18646,NULL,268
1821320,2026/8/19 18:14,MW2044B21058,AC20,NULL,10,                    ,A03456,-0.03011,50240.6,54579.3,3.23E+00,8.90E-04,18367,NULL,268
1821319,2026/8/19 18:13,MW2045B55760,B46,NULL,13,NULL,A04674,-0.03716,51064.3,51299.9,3.24E+00,7.50E-04,18547,NULL,268
1821318,2026/8/19 18:13,MW2044B13676,AC20,NULL,10,                    ,A03456,-0.02675,52242.4,54949.9,3.24E+00,8.80E-04,18086,NULL,268
1821317,2026/8/19 18:13,MW2045B55681,A46,NULL,6,NULL,A04674,-0.02733,54997.7,51982.2,3.24E+00,7.40E-04,18470,NULL,268
1821316,2026/8/19 18:13,MW2044B13675,AC20,NULL,10,                    ,A03456,-0.02771,51048.3,50300.6,3.24E+00,8.60E-04,17949,NULL,268
1821315,2026/8/19 18:12,MW2045B55687,A45,NULL,5,NULL,A04674,-0.04333,51294.2,52941.6,3.24E+00,7.10E-04,18534,NULL,268
1821314,2026/8/19 18:11,MW2045B57410,A46,NULL,6,NULL,A04674,-0.02328,52156.1,52636.6,3.23E+00,7.00E-04,18600,NULL,268
